scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,1,1645006821
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,2,1645006822
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,3,1645006823
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,4,1645006824
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,5,1645006825
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,6,1645006826
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,7,1645006827
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,8,1645006828
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,9,1645006829
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,10,1645006830
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,1,1645006831
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,2,1645006832
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,3,1645006833
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,4,1645006834
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,5,1645006835
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,6,1645006836
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,7,1645006837
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,8,1645006838
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,9,1645006839
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,10,1645006840
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,1,1645006841
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,2,1645006842
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,3,1645006843
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,4,1645006844
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,5,1645006845
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,6,1645006846
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,7,1645006847
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,8,1645006848
