scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,1,1675705382
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,2,1675705383
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,3,1675705384
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,4,1675705385
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,5,1675705386
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,6,1675705387
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,7,1675705388
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,8,1675705389
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,9,1675705390
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,10,1675705391
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,1,1675705392
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,2,1675705393
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,3,1675705394
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,4,1675705395
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,5,1675705396
