scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,p_v_transmit,initialInfections,costInfect,multithreaded,dispersal,vertical,infect_percent,mProb,mSize,replicate,seed
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673378934
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673378935
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673378936
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673378937
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673378938
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673378939
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673378940
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673378941
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673378942
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673378943
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673378944
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673378945
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673378946
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673378947
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673378948
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673378949
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673378950
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673378951
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673378952
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673378953
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673378954
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673378955
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673378956
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673378957
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673378958
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673378959
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673378960
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673378961
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673378962
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673378963
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673378964
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673378965
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673378966
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673378967
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673378968
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673378969
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673378970
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673378971
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673378972
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673378973
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673378974
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673378975
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673378976
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673378977
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673378978
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673378979
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673378980
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673378981
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673378982
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673378983
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673378984
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673378985
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673378986
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673378987
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673378988
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673378989
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673378990
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673378991
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673378992
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673378993
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673378994
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673378995
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673378996
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673378997
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673378998
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673378999
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673379000
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673379001
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673379002
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673379003
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673379004
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673379005
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673379006
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673379007
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673379008
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673379009
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673379010
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673379011
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673379012
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673379013
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,1,1673379014
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,2,1673379015
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,3,1673379016
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,4,1673379017
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,5,1673379018
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,6,1673379019
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,7,1673379020
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,8,1673379021
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,9,1673379022
2,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,10,1673379023
