scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,vertical,mProb,mSize,spillover_rate,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898624
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898625
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898626
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898627
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898628
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898629
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898630
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898631
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898632
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898633
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898634
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898635
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898636
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898637
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898638
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898639
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898640
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898641
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898642
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898643
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898644
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898645
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898646
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898647
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898648
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898649
