scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,local_dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,4,1644327377
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,5,1644327378
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,6,1644327379
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,7,1644327380
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,8,1644327381
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,9,1644327382
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,10,1644327383
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,1,1644327384
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,2,1644327385
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,3,1644327386
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,4,1644327387
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,5,1644327388
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,6,1644327389
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,7,1644327390
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,8,1644327391
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,9,1644327392
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,TRUE,TRUE,10,1644327393
