scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,1,1645090851
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,2,1645090852
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,3,1645090853
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,4,1645090854
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,5,1645090855
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,6,1645090856
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,7,1645090857
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,8,1645090858
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,9,1645090859
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,3,FALSE,10,1645090860
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,1,1645090861
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,2,1645090862
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,3,1645090863
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,4,1645090864
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,5,1645090865
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,6,1645090866
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,7,1645090867
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,8,1645090868
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,9,1645090869
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,3,FALSE,10,1645090870
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,3,FALSE,1,1645090871
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,3,FALSE,2,1645090872
