scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,1,1655124784
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,2,1655124785
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,3,1655124786
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,4,1655124787
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,5,1655124788
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,6,1655124789
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,7,1655124790
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,8,1655124791
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,9,1655124792
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,10,1655124793
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,1,1655124794
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,2,1655124795
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,3,1655124796
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,4,1655124797
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,5,1655124798
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,6,1655124799
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,7,1655124800
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,8,1655124801
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,9,1655124802
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,10,1655124803
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,1,1655124804
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,2,1655124805
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,3,1655124806
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,4,1655124807
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,5,1655124808
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,6,1655124809
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,7,1655124810
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,8,1655124811
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,9,1655124812
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,2,FALSE,TRUE,0.01,0.01,10,1655124813
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,1,1655124814
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,2,1655124815
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,3,1655124816
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,4,1655124817
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,5,1655124818
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,6,1655124819
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,7,1655124820
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,8,1655124821
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,9,1655124822
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,TRUE,0.01,0.01,10,1655124823
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,TRUE,0.01,0.01,1,1655124824
