scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,1,1644501154
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,2,1644501155
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,3,1644501156
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,4,1644501157
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,5,1644501158
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,6,1644501159
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,7,1644501160
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,8,1644501161
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,9,1644501162
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,2,TRUE,10,1644501163
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,1,1644501164
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,2,1644501165
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,3,1644501166
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,4,1644501167
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,5,1644501168
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,6,1644501169
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,7,1644501170
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,2,TRUE,8,1644501171
