scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,reprod_threshold,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,1,1675705432
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,2,1675705433
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,3,1675705434
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,4,1675705435
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,5,1675705436
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,6,1675705437
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,7,1675705438
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,8,1675705439
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,9,1675705440
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,10,1675705441
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,1,1675705442
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,2,1675705443
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,3,1675705444
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,4,1675705445
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,5,1675705446
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,6,1675705447
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,7,1675705448
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,8,1675705449
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,9,1675705450
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,10,1675705451
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,1,1675705452
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,2,1675705453
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,3,1675705454
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,4,1675705455
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,5,1675705456
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,6,1675705457
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,7,1675705458
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,8,1675705459
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,9,1675705460
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,10,1675705461
