scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,vertical,mProb,mSize,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,1,1655291939
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,2,1655291940
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,3,1655291941
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,4,1655291942
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,5,1655291943
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,6,1655291944
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,7,1655291945
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,8,1655291946
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,9,1655291947
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,10,1655291948
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,1,1655291949
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,2,1655291950
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,3,1655291951
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,4,1655291952
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,5,1655291953
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,6,1655291954
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,7,1655291955
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,8,1655291956
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,9,1655291957
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,10,1655291958
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,1,1655291959
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,2,1655291960
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,3,1655291961
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,4,1655291962
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,5,1655291963
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,6,1655291964
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,7,1655291965
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,8,1655291966
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,9,1655291967
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,10,1655291968
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,1,1655291969
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,2,1655291970
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,3,1655291971
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,4,1655291972
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,5,1655291973
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,6,1655291974
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,7,1655291975
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,8,1655291976
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,9,1655291977
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,10,1655291978
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,1,1655291979
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,2,1655291980
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,3,1655291981
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,4,1655291982
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,5,1655291983
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,6,1655291984
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,7,1655291985
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,8,1655291986
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,9,1655291987
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,10,1655291988
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,1,1655291989
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,2,1655291990
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,3,1655291991
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,4,1655291992
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,5,1655291993
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,6,1655291994
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,7,1655291995
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,8,1655291996
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,9,1655291997
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,10,1655291998
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,1,1655291999
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,2,1655292000
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,3,1655292001
