scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,vertical,mProb,mSize,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,7,1655095328
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,8,1655095329
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,9,1655095330
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,10,1655095331
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,1,1655095332
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,2,1655095333
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,3,1655095334
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,4,1655095335
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,5,1655095336
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,6,1655095337
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,7,1655095338
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,8,1655095339
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,9,1655095340
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,10,1655095341
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,1,1655095342
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,2,1655095343
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,3,1655095344
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,4,1655095345
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,5,1655095346
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,6,1655095347
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,7,1655095348
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,8,1655095349
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,9,1655095350
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,10,1655095351
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,1,1655095352
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,2,1655095353
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,3,1655095354
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,4,1655095355
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,5,1655095356
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,6,1655095357
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,7,1655095358
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,8,1655095359
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,9,1655095360
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,10,1655095361
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,1,1655095362
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,2,1655095363
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,3,1655095364
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,4,1655095365
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,5,1655095366
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,6,1655095367
