scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,reprod_threshold,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,1,1676123360
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,2,1676123361
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,3,1676123362
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,4,1676123363
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,5,1676123364
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,6,1676123365
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,7,1676123366
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,8,1676123367
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,9,1676123368
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,TRUE,0.01,0.01,10,1676123369
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,1,1676123370
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,2,1676123371
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,3,1676123372
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,4,1676123373
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,5,1676123374
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,6,1676123375
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,7,1676123376
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,8,1676123377
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,9,1676123378
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,TRUE,0.01,0.01,10,1676123379
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,1,1676123380
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,2,1676123381
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,3,1676123382
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,4,1676123383
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,5,1676123384
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,6,1676123385
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,7,1676123386
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,8,1676123387
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,9,1676123388
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,TRUE,0.01,0.01,10,1676123389
