scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,1,1646315642
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,2,1646315643
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,3,1646315644
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,4,1646315645
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,5,1646315646
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,6,1646315647
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,7,1646315648
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,8,1646315649
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,9,1646315650
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.025,1,3,TRUE,10,1646315651
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,1,1646315652
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,2,1646315653
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,3,1646315654
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,4,1646315655
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,5,1646315656
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,6,1646315657
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,7,1646315658
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,8,1646315659
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,9,1646315660
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.05,1,3,TRUE,10,1646315661
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,1,1646315662
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,2,1646315663
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,3,1646315664
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,4,1646315665
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,5,1646315666
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,6,1646315667
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,7,1646315668
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,8,1646315669
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,9,1646315670
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.075,1,3,TRUE,10,1646315671
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,1,1646315672
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,2,1646315673
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,3,1646315674
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,4,1646315675
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,5,1646315676
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,6,1646315677
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,7,1646315678
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,8,1646315679
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,9,1646315680
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,3,TRUE,10,1646315681
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,3,TRUE,1,1646315682
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,3,TRUE,2,1646315683
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,3,TRUE,3,1646315684
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,3,TRUE,4,1646315685
