scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,infect_percent,mProb,mSize,replicate,seed
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,1,1673812669
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,2,1673812670
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,3,1673812671
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,4,1673812672
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,5,1673812673
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,6,1673812674
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,7,1673812675
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,8,1673812676
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,9,1673812677
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,10,1673812678
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,1,1673812679
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,2,1673812680
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,3,1673812681
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,4,1673812682
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,5,1673812683
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,6,1673812684
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,7,1673812685
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,8,1673812686
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,9,1673812687
1,500,1800,60,60,1,100,1000,500,1,1,1,5,50,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,10,1673812688
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,1,1673812689
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,2,1673812690
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,3,1673812691
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,4,1673812692
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,5,1673812693
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,6,1673812694
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,7,1673812695
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,8,1673812696
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,9,1673812697
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.025,FALSE,2,TRUE,0.01,0.01,10,1673812698
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,1,1673812699
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,2,1673812700
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,3,1673812701
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,4,1673812702
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,5,1673812703
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,6,1673812704
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,7,1673812705
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,8,1673812706
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,9,1673812707
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.05,FALSE,2,TRUE,0.01,0.01,10,1673812708
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,1,1673812709
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,2,1673812710
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,3,1673812711
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,4,1673812712
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,5,1673812713
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,6,1673812714
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,7,1673812715
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,8,1673812716
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,9,1673812717
1,500,1800,60,60,1,100,1000,500,1,1,1,5,100,0.05,20,0.075,FALSE,2,TRUE,0.01,0.01,10,1673812718
