gen,social_strat,N,mean_move,mean_assoc,mean_intake,prop_infec,repl,cost,regen,local,infect_percent,prop,gen_bin,gen_abs
60,agent tracking,458,34.8973799126638,37330.6746724891,13.0250169213162,0,1,0.25,50,1,0,0.916,0,-3000
60,agent avoiding,22,50.3181818181818,95.7272727272727,10.3191813989119,0,1,0.25,50,1,0,0.044,0,-3000
60,non-handler tracking,13,37.8461538461539,6351.92307692308,12.5394609891451,0,1,0.25,50,1,0,0.026,0,-3000
60,handler tracking,7,39.5714285714286,69.8571428571429,12.7152852434499,0,1,0.25,50,1,0,0.014,0,-3000
65,agent tracking,473,34.3805496828753,38419.5306553911,13.1278493449753,0,1,0.25,50,1,0,0.946,0,-3000
65,handler tracking,7,53.7142857142857,82.7142857142857,9.7152853012085,0,1,0.25,50,1,0,0.014,0,-3000
65,non-handler tracking,9,44.4444444444444,7174.22222222222,11.3343328369988,0,1,0.25,50,1,0,0.018,0,-3000
65,agent avoiding,11,44.9090909090909,71.1818181818182,11.546454039487,0,1,0.25,50,1,0,0.022,0,-3000
70,agent tracking,477,33.3270440251572,39376.1090146751,13.3364292220749,0,1,0.25,50,1,0,0.954,0,-3000
70,agent avoiding,8,29.75,86.5,14.2509995102882,0,1,0.25,50,1,0,0.016,0,-3000
70,handler tracking,13,39.7692307692308,834.538461538462,12.2317687181326,0,1,0.25,50,1,0,0.026,0,-3000
70,non-handler tracking,2,32.5,243.5,14.0009994506836,0,1,0.25,50,1,0,0.004,0,-3000
75,agent tracking,467,33.8865096359743,38412.73875803,13.2258388511119,0,1,0.25,50,1,0,0.934,0,-3000
75,non-handler tracking,10,63.5,4733.5,7.60099972019671,0,1,0.25,50,1,0,0.02,0,-3000
75,handler tracking,15,37,87.0666666666667,13.0676661491394,0,1,0.25,50,1,0,0.03,0,-3000
75,agent avoiding,8,35.625,114.5,13.1259995102882,0,1,0.25,50,1,0,0.016,0,-3000
80,agent tracking,461,33.1236442516269,38433.9457700651,13.3762706024269,0,1,0.25,50,1,0,0.922,0,-3000
80,non-handler tracking,11,57.0909090909091,1251.27272727273,8.91009063070471,0,1,0.25,50,1,0,0.022,0,-3000
80,handler tracking,21,58.5714285714286,1100.66666666667,8.62004730025018,0,1,0.25,50,1,0,0.042,0,-3000
80,agent avoiding,7,50.1428571428572,126,10.1438567468098,0,1,0.25,50,1,0,0.014,0,-3000
85,agent tracking,459,34.9433551198257,38456.7385620915,13.0140713471473,0,1,0.25,50,1,0,0.918,0,-3000
85,handler tracking,26,43.3461538461539,142.538461538462,11.6933072374802,0,1,0.25,50,1,0,0.052,0,-3000
85,non-handler tracking,14,56.4285714285714,6490.57142857143,8.92957105473449,0,1,0.25,50,1,0,0.028,0,-3000
85,agent avoiding,1,23,83,16.0009994506836,0,1,0.25,50,1,0,0.002,0,-3000
90,agent tracking,474,32.9113924050633,39259.3396624473,13.4187209718359,0,1,0.25,50,1,0,0.948,0,-3000
90,handler tracking,19,47.5789473684211,227.684210526316,10.8431048180455,0,1,0.25,50,1,0,0.038,0,-3000
90,non-handler tracking,7,62.2857142857143,4446.42857142857,7.71528545816961,0,1,0.25,50,1,0,0.014,0,-3000
95,agent tracking,466,33.7982832618026,38700.7532188841,13.2413427983231,0,1,0.25,50,1,0,0.932,0,-3000
95,handler tracking,23,44.7391304347826,83.9130434782609,11.3923038638592,0,1,0.25,50,1,0,0.046,0,-3000
95,non-handler tracking,11,47.6363636363636,2900.09090909091,10.6373632170937,0,1,0.25,50,1,0,0.022,0,-3000
100,agent tracking,473,32.9175475687104,39224.1501057082,13.4196041028545,0,1,0.25,50,1,0,0.946,100,-2900
100,handler tracking,14,32.7142857142857,82.1428571428571,13.7867138385773,0,1,0.25,50,1,0,0.028,100,-2900
100,non-handler tracking,13,46.9230769230769,5291.92307692308,11.0009995663019,0,1,0.25,50,1,0,0.026,100,-2900
105,agent tracking,470,34.2063829787234,38070.8723404255,13.1648292389322,0,1,0.25,50,1,0,0.94,100,-2900
105,handler tracking,23,39.8260869565217,1449.13043478261,12.4792603668959,0,1,0.25,50,1,0,0.046,100,-2900
105,agent avoiding,4,44,99,11.5009994506836,0,1,0.25,50,1,0,0.008,100,-2900
105,non-handler tracking,3,41.6666666666667,16193.3333333333,11.6676661173503,0,1,0.25,50,1,0,0.006,100,-2900
110,agent tracking,459,36.6143790849673,36959.0435729848,12.6872739636041,0,1,0.25,50,1,0,0.918,100,-2900
110,handler tracking,26,44.6538461538462,197.576923076923,11.3856149636782,0,1,0.25,50,1,0,0.052,100,-2900
110,non-handler tracking,10,65,98.4,7.00099969635485,0,1,0.25,50,1,0,0.02,100,-2900
110,agent avoiding,5,31,83.2,14.4009994506836,0,1,0.25,50,1,0,0.01,100,-2900
115,agent tracking,465,34.9268817204301,38365.3849462366,13.0182037527843,0,1,0.25,50,1,0,0.93,100,-2900
115,handler tracking,26,45.1538461538462,1193.23076923077,11.3086918757897,0,1,0.25,50,1,0,0.052,100,-2900
