gen,energy.mean,energy.sd,intake.mean,intake.sd,moved.mean,moved.sd,assoc.mean,assoc.sd,repl,cost,regen,local,infect_percent,gen_bin,gen_abs
0,2.17899995416054,2.32575448044965,2.17899995416054,2.32575448044965,89.15,11.5598772278535,88.384,35.619067645854,1,0.25,50,1,0,0,-3000
5,7.16299969744519,3.18119391533586,7.16299969744519,3.18119391533586,64.418,15.8487109658343,21876.274,15253.6929616687,1,0.25,50,1,0,0,-3000
10,9.80899951778259,2.50433200293459,9.80899951778259,2.50433200293459,51.082,12.4890042218307,39103.224,13029.5608279236,1,0.25,50,1,0,0,-3000
15,9.55699953632755,2.56905886695704,9.55699953632755,2.56905886695704,52.362,12.7346495278509,38837.756,13114.7317128588,1,0.25,50,1,0,0,-3000
20,10.440999484539,2.20274916746221,10.440999484539,2.20274916746221,47.928,11.004772875989,41766.306,11503.9797573221,1,0.25,50,1,0,0,-3000
25,10.2249994969885,2.41194081343239,10.2249994969885,2.41194081343239,48.996,11.9316685097623,41793.924,11081.0744090246,1,0.25,50,1,0,0,-3000
30,10.3249995029073,2.90031844479895,10.3249995029073,2.90031844479895,48.502,14.5207334318483,36401.626,12745.0492233469,1,0.25,50,1,0,0,-3000
35,10.6289995128175,2.94260655207358,10.6289995128175,2.94260655207358,47.05,14.5962186609545,34698.192,12278.1473352909,1,0.25,50,1,0,0,-3000
40,12.1229994805376,2.50112511498302,12.1229994805376,2.50112511498302,39.54,12.5868684952626,33592.55,11371.3668277196,1,0.25,50,1,0,0,-3000
45,13.0509994573593,1.78265409404565,13.0509994573593,1.78265409404565,34.862,8.9287401575812,36602.35,9209.84353522831,1,0.25,50,1,0,0,-3000
50,13.3549994586965,1.78859777961981,13.3549994586965,1.78859777961981,33.36,8.98196813081665,36851.512,9110.02266164291,1,0.25,50,1,0,0,-3000
55,13.250999458458,1.79609347207781,13.250999458458,1.79609347207781,33.828,8.96544334367785,36218.822,9692.94109072642,1,0.25,50,1,0,0,-3000
60,12.8889994606038,2.00985942019283,12.8889994606038,2.00985942019283,35.718,10.1658824669905,34365.238,10776.350651314,1,0.25,50,1,0,0,-3000
65,13.0129994544983,1.66895979067872,13.0129994544983,1.66895979067872,35.064,8.41317222775498,36476.736,9555.41478208137,1,0.25,50,1,0,0,-3000
70,13.3249994544983,1.52172771901193,13.3249994544983,1.52172771901193,33.434,7.59453737866843,37588.864,8903.02776972199,1,0.25,50,1,0,0,-3000
75,13.1069994579812,1.8356205646443,13.1069994579812,1.8356205646443,34.6,9.21508739358139,35976.612,9883.60050991212,1,0.25,50,1,0,0,-3000
80,13.032999470379,2.287671860329,13.032999470379,2.287671860329,34.958,11.471155600969,35511.618,10535.8502624887,1,0.25,50,1,0,0,-3000
85,12.8369994614641,2.16760254641561,12.8369994614641,2.16760254641561,35.958,10.7640124455454,35492.6,10375.4945886892,1,0.25,50,1,0,0,-3000
90,13.2409994608006,2.1069595022459,13.2409994608006,2.1069595022459,33.88,10.5502709175104,37288.756,8915.32485369759,1,0.25,50,1,0,0,-3000
95,13.0989994565507,1.75686340788476,13.0989994565507,1.75686340788476,34.606,8.75763417325851,36136.764,9722.19898039187,1,0.25,50,1,0,0,-3000
100,13.3669994575044,1.74990520448633,13.3669994575044,1.74990520448633,33.276,8.746475041484,37245.936,8938.17660386657,1,0.25,50,1,0,100,-2900
105,13.110999453783,1.67077314675377,13.110999453783,1.67077314675377,34.588,8.33169191583323,35951.232,9704.05550296293,1,0.25,50,1,0,100,-2900
110,12.5229994651338,2.05863832687245,12.5229994651338,2.05863832687245,37.544,10.2041321348388,33941.476,11110.3937857113,1,0.25,50,1,0,100,-2900
115,12.9089994586965,1.83910316817944,12.9089994586965,1.83910316817944,35.6,9.35837370041575,35783.916,10087.2237011448,1,0.25,50,1,0,100,-2900
120,13.2049994585514,1.84314356846705,13.2049994585514,1.84314356846705,34.082,9.24501035331306,35439.492,9759.06195032271,1,0.25,50,1,0,100,-2900
125,13.2669994617542,1.99579813826635,13.2669994617542,1.99579813826635,33.81,10.0922548131936,35778.572,9730.7228036451,1,0.25,50,1,0,100,-2900
130,13.1989994595568,1.95408103766427,13.1989994595568,1.95408103766427,34.128,9.86073446394013,36450.75,9390.76710909682,1,0.25,50,1,0,100,-2900
